profile_id,pres,temp,lat,lon,psal,date
5904412_127,1750.7,2.452,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1800.6,2.424,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1850.8,2.397,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1900.8,2.368,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1950.7,2.331,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,2000.6,2.294,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904482_165,4.52,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,6.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,8.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,10.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,12.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,14.42,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,16.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,18.22,0.784,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,20.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,22.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,24.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,26.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,28.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,30.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,32.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,34.22,0.785,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,36.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,38.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,40.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,42.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,44.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,46.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,48.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,50.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,52.22,0.786,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,54.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,56.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,58.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,60.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,62.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,64.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
5904482_165,66.22,0.787,-59.703,144.455,33.739,2018-06-01T23:53:11.002Z
